NoJI,Mesin,Tanggal SUP
7460 0C,CERUTI.1                                          ,4/30/2021
5743 1C,CERUTI.2                                          ,5/2/2021
7430 0A,CERUTI.5,5/4/2021
7468 1B,CERUTI.2                                          ,5/4/2021
5360A 2F,CERUTI.1                                          ,5/4/2021
1145A 7F,CERUTI.1                                          ,5/5/2021
6368 1C,CERUTI.3                                          ,5/5/2021
5293 2F,CERUTI.2                                          ,5/5/2021
6367 1C,CERUTI.3                                          ,5/6/2021
4990 10P,CERUTI.1                                          ,5/6/2021
6366 2B,CERUTI.3                                          ,5/6/2021
4285 2D,CERUTI.2                                          ,5/6/2021
5311 4K,CERUTI.3                                          ,5/6/2021
7294 0A,CERUTI.1                                          ,5/6/2021
6588 0C,CERUTI.5,5/7/2021
7512 0B,CERUTI.1                                          ,5/7/2021
6364 1D,CERUTI.3                                          ,5/7/2021
5225 2G,CERUTI.2                                          ,5/7/2021
7513 0A,CERUTI.1                                          ,5/7/2021
7431 0A,CERUTI.5,5/8/2021
7467 1B,CERUTI.1                                          ,5/10/2021
6762 1A,CERUTI.1                                          ,8/3/2021
7489 0B,CERUTI.3                                          ,5/10/2021
5475A 1B,CERUTI.1                                          ,5/19/2021
7377A 0A,CERUTI.2                                          ,5/17/2021
5862 3E,CERUTI.2                                          ,5/17/2021
4421 0G,CERUTI.3                                          ,5/18/2021
3698 8M,CERUTI.5,5/18/2021
7469 0A,CERUTI.1                                          ,5/19/2021
6288 2C,CERUTI.3                                          ,5/19/2021
6424 1B,CERUTI.2                                          ,5/19/2021
7595 0A,CERUTI.3                                          ,5/19/2021
2847 8I,CERUTI.2                                          ,5/19/2021
7476 0A,CERUTI.1                                          ,5/20/2021
7323 1B,CERUTI.1                                          ,5/20/2021
7408 0B,CERUTI.1                                          ,5/21/2021
3635 3I,CERUTI.3                                          ,5/20/2021
4970A 0C,CERUTI.2                                          ,5/21/2021
3277A 7O,CERUTI.1                                          ,5/21/2021
7134 0A,CERUTI.2                                          ,5/21/2021
6710 0E,CERUTI.1                                          ,5/22/2021
5430A 2C,CERUTI.1                                          ,5/23/2021
6280 0G,CERUTI.2                                          ,5/22/2021
7333 0A,CERUTI.2                                          ,5/22/2021
7009 1B,CERUTI.2                                          ,5/23/2021
7332 0A,CERUTI.2                                          ,5/23/2021
5736 2G,CERUTI.5,5/23/2021
7010 2B,CERUTI.2                                          ,5/23/2021
7383 0A,CERUTI.1                                          ,5/23/2021
4066 2C,CERUTI.2                                          ,5/23/2021
5658 0B,CERUTI.1                                          ,5/24/2021
6725 0B,CERUTI.1                                          ,5/24/2021
7526 0A,CERUTI.2                                          ,5/24/2021
7561A 0A,CERUTI.3                                          ,5/24/2021
7448 0A,CERUTI.2                                          ,5/24/2021
7560 0A,CERUTI.3                                          ,5/24/2021
5812 0B,CERUTI.1                                          ,5/25/2021
7352 1D,CERUTI.1                                          ,5/25/2021
7559 0A,CERUTI.1                                          ,5/25/2021
7562A 0A,CERUTI.3                                          ,5/25/2021
6256 2B,CERUTI.1                                          ,5/26/2021
6020 0B,CERUTI.2                                          ,5/25/2021
4669 1B,CERUTI.2                                          ,5/26/2021
6381 1C,CERUTI.1                                          ,5/27/2021
6026 0B,CERUTI.2                                          ,5/26/2021
6276 0A,CERUTI.2                                          ,5/26/2021
7292 1B,CERUTI.3                                          ,5/26/2021
4345 1C,CERUTI.2                                          ,5/26/2021
5823 0C,CERUTI.1                                          ,8/4/2021
7533 0A,CERUTI.2                                          ,5/27/2021
7521 0A,CERUTI.1                                          ,5/27/2021
7534 0B,JASA PRINTING DI RAPIGRA                          ,5/27/2021
7557 0B,CERUTI.1                                          ,5/28/2021
6018 1B,CERUTI.2                                          ,5/28/2021
6997 1G,CERUTI.3                                          ,5/28/2021
7550 0A,CERUTI.2                                          ,5/28/2021
7326 0A,CERUTI.1                                          ,5/29/2021
7558 0A,CERUTI.1                                          ,5/31/2021
7226 0A,CERUTI.2                                          ,5/30/2021
7384 0A,CERUTI.3                                          ,5/30/2021
7491 0A,CERUTI.5,5/31/2021
7570 0A,CERUTI.3                                          ,5/31/2021
7546 0A,CERUTI.2                                          ,5/31/2021
5132 5N,CERUTI.3                                          ,8/6/2021
7497 0A,CERUTI.2                                          ,5/31/2021
7547 0A,CERUTI.2                                          ,5/31/2021
7242 0A,CERUTI.2                                          ,5/31/2021
6664 1B,CERUTI.2                                          ,6/1/2021
4991 10O,CERUTI.1                                          ,6/1/2021
2840 6L,CERUTI.2                                          ,6/1/2021
6521 0A,CERUTI.1                                          ,9/8/2021
5024A 3E,CERUTI.2                                          ,6/2/2021
6268 1C,CERUTI.2                                          ,6/2/2021
7572 0A,CERUTI.1                                          ,6/2/2021
7501 0A,CERUTI.3                                          ,6/2/2021
7508 1A,CERUTI.2                                          ,6/2/2021
7589 0A,CERUTI.1                                          ,6/2/2021
4643 2C,CERUTI.2                                          ,6/2/2021
4645 3D,CERUTI.2                                          ,6/2/2021
1203A 7H,CERUTI.2                                          ,6/3/2021
6065 1B,CERUTI.1                                          ,6/3/2021
7374 0A,CERUTI.2                                          ,6/3/2021
7496 0A,CERUTI.5,6/3/2021
7498 0B,CERUTI.3                                          ,6/3/2021
5557 1B,CERUTI.2                                          ,6/3/2021
6905 1B,CERUTI.1                                          ,6/3/2021
7143 0A,CERUTI.2                                          ,6/3/2021
6919 0A,CERUTI.2                                          ,6/4/2021
7499 0C,CERUTI.3                                          ,6/4/2021
4971 1C,CERUTI.2                                          ,6/4/2021
7477 0A,CERUTI.1                                          ,6/4/2021
6956 2E,CERUTI.5,6/4/2021
6768 0D,CERUTI.2                                          ,6/4/2021
4711A 3F,CERUTI.3                                          ,6/4/2021
4709A 3E,CERUTI.3                                          ,6/4/2021
5549 1E,CERUTI.2                                          ,6/5/2021
5405 1E,CERUTI.1                                          ,6/5/2021
7563 0A,CERUTI.2                                          ,6/5/2021
7564 0A,CERUTI.2                                          ,6/5/2021
5406 1F,CERUTI.1                                          ,6/5/2021
6440 0A,CERUTI.2                                          ,6/5/2021
6709 0C,CERUTI.1                                          ,6/5/2021
7205 0B,CERUTI.2                                          ,6/6/2021
7201 1C,CERUTI.5,6/6/2021
4777 0E,CERUTI.2                                          ,6/6/2021
7185 0A,CERUTI.1                                          ,6/7/2021
6344 1C,CERUTI.2                                          ,6/7/2021
7461 0A,CERUTI.1                                          ,6/7/2021
7462 0A,CERUTI.1                                          ,6/7/2021
3792 6N,CERUTI.5,6/7/2021
6903 0A,CERUTI.2                                          ,6/7/2021
6532 0E,CERUTI.2                                          ,6/7/2021
6531 0E,CERUTI.2                                          ,6/8/2021
6596A 0A,CERUTI.1                                          ,6/8/2021
7576 0A,CERUTI.2                                          ,6/8/2021
2033 10L,CERUTI.2                                          ,6/8/2021
3818 6M,CERUTI.2                                          ,6/8/2021
6597A 0A,CERUTI.1                                          ,6/8/2021
5409A 1D,CERUTI.2                                          ,6/8/2021
5980A 2D,CERUTI.2                                          ,6/9/2021
7573 0A,CERUTI.1                                          ,6/9/2021
7586 0A,CERUTI.1                                          ,6/9/2021
4521 3G,CERUTI.2                                          ,6/9/2021
7296 0A,CERUTI.1                                          ,6/9/2021
2580 6Q,CERUTI.1                                          ,6/9/2021
7092 0A,CERUTI.1                                          ,9/6/2021
2206 3H,CERUTI.2                                          ,6/10/2021
7587 0B,CERUTI.3                                          ,6/10/2021
7588 0B,CERUTI.3                                          ,6/10/2021
7602 0B,CERUTI.2                                          ,6/10/2021
7395 0A,CERUTI.1                                          ,6/10/2021
5592A 2B,CERUTI.1                                          ,6/10/2021
5724 0B,CERUTI.2                                          ,6/11/2021
6116 1B,CERUTI.1                                          ,6/11/2021
5494 1D,CERUTI.2                                          ,6/11/2021
7471A 0A,CERUTI.3                                          ,6/11/2021
7582A 0A,CERUTI.5,6/11/2021
7597 0B,CERUTI.2                                          ,6/11/2021
7632 0A,CERUTI.1                                          ,6/11/2021
7596 0A,CERUTI.2                                          ,6/11/2021
7472A 0A,CERUTI.5,6/11/2021
7581A 0A,CERUTI.3                                          ,6/11/2021
7555 0B,CERUTI.1                                          ,6/11/2021
5685 0C,CERUTI.2                                          ,6/11/2021
6258 1D,CERUTI.1                                          ,6/11/2021
6940 0A,CERUTI.2                                          ,6/12/2021
5824 1C,CERUTI.3                                          ,6/12/2021
6769 1B,CERUTI.3                                          ,6/12/2021
6100 1C,CERUTI.2                                          ,6/12/2021
6103 1C,CERUTI.2                                          ,6/13/2021
6101 1C,CERUTI.2                                          ,6/13/2021
3913 3I,CERUTI.2                                          ,6/14/2021
6760 0C,CERUTI.3                                          ,6/14/2021
7074 2E,CERUTI.3                                          ,6/14/2021
5660 5I,CERUTI.1                                          ,6/14/2021
7606 0A,CERUTI.2                                          ,6/14/2021
3817 5L,CERUTI.2                                          ,6/14/2021
6743 0B,CERUTI.2                                          ,6/14/2021
7601 0A,CERUTI.2                                          ,6/15/2021
7031 1F,CERUTI.3                                          ,6/15/2021
7605 0A,CERUTI.1                                          ,6/15/2021
5693 0F,CERUTI.3                                          ,6/15/2021
7608 0A,CERUTI.1                                          ,6/15/2021
6097 1C,CERUTI.2                                          ,6/15/2021
4782A 0I,CERUTI.3                                          ,6/15/2021
4778 0E,CERUTI.1                                          ,6/15/2021
6136 0B,CERUTI.2                                          ,6/15/2021
5689 0B,CERUTI.1                                          ,6/16/2021
7574 0B,CERUTI.2                                          ,6/16/2021
7594A 0A,CERUTI.3                                          ,6/16/2021
7539 0B,CERUTI.1                                          ,6/16/2021
7537 0A,CERUTI.1                                          ,6/16/2021
6745 1C,CERUTI.3                                          ,6/16/2021
1017 14Q,CERUTI.2                                          ,6/16/2021
2803 8S,CERUTI.5,6/16/2021
4053 6E,CERUTI.1                                          ,6/16/2021
6056 0E,CERUTI.2                                          ,6/16/2021
6286 0A,CERUTI.2                                          ,6/17/2021
5565 2D,CERUTI.2                                          ,6/17/2021
7569 0A,CERUTI.2                                          ,6/17/2021
6710 1F,CERUTI.1                                          ,6/17/2021
7621 0A,CERUTI.1                                          ,6/17/2021
5743 2D,CERUTI.2                                          ,6/17/2021
4161A 0C,CERUTI.1                                          ,6/17/2021
7287 0A,CERUTI.3                                          ,6/17/2021
7206 0A,CERUTI.2                                          ,6/17/2021
4202 2H,CERUTI.1                                          ,6/18/2021
5892 1A,CERUTI.2                                          ,6/18/2021
6070 0A,CERUTI.2                                          ,6/18/2021
6601 1E,CERUTI.2                                          ,6/18/2021
7568 1A,CERUTI.1                                          ,6/18/2021
4462 1B,CERUTI.3                                          ,6/18/2021
7615 0A,CERUTI.2                                          ,6/18/2021
7567 1A,CERUTI.1                                          ,6/18/2021
6363 2D,CERUTI.2                                          ,6/18/2021
5797 4F,CERUTI.3                                          ,6/18/2021
6588 0D,CERUTI.5,6/18/2021
5445 0D,CERUTI.2                                          ,6/19/2021
5135 1B,CERUTI.1                                          ,6/19/2021
7620 0A,CERUTI.1                                          ,6/19/2021
5142 20T,CERUTI.3                                          ,6/19/2021
4226A 2D,CERUTI.5,6/19/2021
4905 1B,CERUTI.1                                          ,6/19/2021
2938 5N,CERUTI.3                                          ,6/19/2021
6631 1B,CERUTI.2                                          ,6/20/2021
7414 0A,CERUTI.1                                          ,6/20/2021
6889 0B,CERUTI.2                                          ,6/20/2021
7329 1A,CERUTI.2                                          ,6/20/2021
7628A 0A,CERUTI.3                                          ,6/21/2021
6675 2B,CERUTI.2                                          ,6/21/2021
7566 1A,CERUTI.2                                          ,9/9/2021
6677 2B,CERUTI.2                                          ,6/21/2021
7565 1A,CERUTI.1                                          ,6/21/2021
0914 8K,CERUTI.2                                          ,6/21/2021
2685A 3F,CERUTI.1                                          ,6/22/2021
5418 2B,CERUTI.2                                          ,6/22/2021
5414 2B,CERUTI.2                                          ,6/22/2021
6393 0A,CERUTI.1                                          ,6/22/2021
6884 0B,CERUTI.1                                          ,6/22/2021
6744 0A,CERUTI.1                                          ,6/23/2021
1660 11Q,CERUTI.2                                          ,6/23/2021
3088 6M,CERUTI.3                                          ,6/23/2021
4922 0E,CERUTI.1                                          ,6/23/2021
5687 0A,CERUTI.1                                          ,6/23/2021
2453 10N,CERUTI.2                                          ,6/23/2021
7532 0B,CERUTI.3                                          ,6/24/2021
7456A 0A,CERUTI.2                                          ,6/24/2021
7641 0A,CERUTI.1                                          ,6/24/2021
7295 1B,CERUTI.1                                          ,6/24/2021
2776 2G,CERUTI.2                                          ,6/24/2021
1046 3I,CERUTI.2                                          ,6/24/2021
6623 1D,CERUTI.1                                          ,6/24/2021
4507 2F,CERUTI.1                                          ,6/25/2021
6970 1A,CERUTI.1                                          ,6/25/2021
7638 0A,CERUTI.2                                          ,6/25/2021
7272A 0A,CERUTI.1                                          ,6/25/2021
6262 1C,CERUTI.3                                          ,6/25/2021
7599A 0A,CERUTI.1                                          ,6/25/2021
7627 0A,CERUTI.5,6/25/2021
5298 1E,CERUTI.2                                          ,6/25/2021
5297 1E,CERUTI.2                                          ,6/26/2021
2578 5I,CERUTI.1                                          ,6/26/2021
3282 6L,CERUTI.1                                          ,6/27/2021
7631 0A,CERUTI.2                                          ,6/28/2021
6746A 1C,CERUTI.1                                          ,6/28/2021
5384 1E,CERUTI.2                                          ,6/28/2021
7634 0A,CERUTI.2                                          ,6/29/2021
6047A 4B,CERUTI.5,6/29/2021
7511 0A,CERUTI.1                                          ,6/29/2021
5069A 0A,CERUTI.1                                          ,6/29/2021
4130 2D,CERUTI.2                                          ,6/29/2021
5547 0A,CERUTI.2                                          ,6/30/2021
7048 0A,CERUTI.1                                          ,6/30/2021
7633 0A,CERUTI.1                                          ,6/30/2021
6735 0B,CERUTI.2                                          ,6/30/2021
5393 1C,CERUTI.2                                          ,7/1/2021
5396 1C,CERUTI.2                                          ,7/1/2021
7645 0A,JASA PRINTING DI RAPIGRA                          ,7/1/2021
0412 5J,CERUTI.1                                          ,7/1/2021
7515 0A,CERUTI.2                                          ,7/1/2021
1636 5I,CERUTI.2                                          ,7/1/2021
6983 0A,CERUTI.1                                          ,7/1/2021
7181 0B,CERUTI.2                                          ,7/1/2021
5242 0B,CERUTI.2                                          ,7/2/2021
6832 0B,CERUTI.1                                          ,7/2/2021
6718 0B,CERUTI.2                                          ,7/2/2021
7656A 0A,CERUTI.1                                          ,7/2/2021
7239 0A,CERUTI.2                                          ,7/2/2021
7644A 0A,CERUTI.2                                          ,7/2/2021
7591 0A,CERUTI.1                                          ,7/2/2021
7612 0A,CERUTI.5,7/2/2021
4285 2E,CERUTI.1                                          ,7/2/2021
7032 0B,CERUTI.2                                          ,7/2/2021
6666 1F,CERUTI.5,7/2/2021
